nome_fantasia,razao_social,cep,lat,long,bairro,endereco
BAR BRAHMA,FXO BARES RESTAURANTES LTDA,50710220,-8.0429065,-34.9090033,TORRE,"RUA VERMELHA, 1"
BAR DECK,BAR DECK LTDA,50670260,-8.0415832,-34.9386926,IPUTINGA,"RUA BOM PASTOR, 89"
BAR DO AIRTON,A S DE BARROS RESTAURANTE,51030480,-8.1329846,-34.9070048,BOA VIAGEM,"RUA ANTONIO VICENTE, 129"
BAR DO BRANCO,JOSEFA MARIA DA CONCEICAO FREITAS RESTAURANTES,51021420,-8.1272833,-34.9061003,BOA VIAGEM,"RUA GENERAL LUIS MALLET, 292"
BAR DO CUSCUZ RECIFE,BAR DO CUSCUZ RESTAURANTE RECIFE LTDA,51020390,-8.1190356,-34.9016012,BOA VIAGEM,"AVENIDA FERNANDO SIMOES BARBOSA, 170"
BAR DO LULA,BAR E RESTAURANTE DO LULINHA LTDA,51170420,-8.0890714,-34.9095061,IMBIRIBEIRA,"RUA ENGENHEIRO OTAVIO ARANTES, SN"
BAR DO PAULINHO,P M T DE SANTANA LTDA,51190350,-8.1167566,-34.9165462,IMBIRIBEIRA,"RUA LEONARDO DA VINCI, 58"
BAR DO PAULO GASTRONOMIA REGIONAL,J NETO RESTAURANTE LTDA,50761050,-8.0651084,-34.9293083,SAN MARTIN,"RUA VISCONDE DE PARNAIBA, 30"
BAR DO TADEU,B D T COMERCIO DE ALIMENTOS LTDA,50710025,-8.0507422,-34.9081858,TORRE,"RUA REAL DA TORRE, 1596"
BAR DO TOINHAO,A C F SOARES RESTAURANTE,52041110,-8.034984,-34.8936381,ENCRUZILHADA,"RUA AMARO COUTINHO, 339"
BAR DO VIZINHO,BAR DO VIZINHO LTDA,52041115,-8.0365929,-34.8919166,ENCRUZILHADA,"RUA AMARO COUTINHO, S/N"
BAR DO VIZINHO,LAURACI BATISTA,50060230,-8.0630292,-34.888571,BOA VISTA,"RUA DA SANTA CRUZ, S/N"
BAR DO ZAQUEU,ZAQUEU BARBOSA DE LIRA,52131320,-8.010623,-34.9073171,LINHA DO TIRO,"RUA PROFESSOR JOSE AMARINO DOS REIS, 24"
BAR E RESTAURANTE ACONCHEGO DO MATUTO,PEREIRA E MORAES RESTAURANTE LTDA,50070230,-8.0609284,-34.8936885,BOA VISTA,"RUA LINS PETIT, 273"
BAR E RESTAURANTE CHORA MENINO,J ANTONIO DOS SANTOS RESTAURANTE LTDA,50070200,-8.0594058,-34.8942482,BOA VISTA,"RUA PAISSANDU, 18"
BAR E RESTAURANTE MARINHUS,BAR E RESTAURANTE MARINHUS LTDA,51030050,-8.1351055,-34.9085342,BOA VIAGEM,"RUA RIO AZUL, 363"
BAR E RESTAURANTE PARK AQUATICO,BAR E RESTAURANTE PARK AQUATICO LTDA,52291256,-7.9319361,-34.942567,GUABIRABA,"ESTRADA DO BARRO BRANCO, Q"
BAR VERMELHO,RESTAURANTE E BAR VERMELHO LTDA,52120440,-8.0219246,-34.8829667,AGUA FRIA,"RUA DA SAGRADA FAMILIA, 22"
"BAR, RESTAURANTE E PIZZARIA BODE BRASA",P. D. DE LUCENA RESTAURANTE,51150410,-8.1107241,-34.9070004,IMBIRIBEIRA,"RUA JOAQUIM BANDEIRA, 700"
BARCHEF BOTECO,ARK EMPREENDIMENTOS E PARTICIPACOES LTDA,51020020,-8.1137543,-34.8934429,BOA VIAGEM,"AVENIDA CONS AGUIAR, 2814"
BARLEUS COZINHA HISTORICA,ANDRE LUIZ VIEIRA DE ARAUJO RESTAURANTE,50030040,-8.064486,-34.8733876,RECIFE,"RUA DA MOEDA, 162"
BARROS BAR E RESTAURANTE,BARROS BISTRO & BAR LTDA,50610090,-8.0555004,-34.9067552,MADALENA,"AVENIDA VISCONDE DE ALBUQUERQUE, 294"
BARZINHO MUSIC BAR,BARZINHO MUSIC BAR E RESTAURANTE LTDA,52111040,-8.0244077,-34.8992091,BOMBA DO HEMETERIO,"RUA JACOB, 31"
BATISTAO,BOX 161 BATISTAO LTDA,50610010,-8.0524054,-34.9086817,MADALENA,"PRACA SOLANGE PINTO MELO, S/N"
BBWAFFLES,NOE APRIGIO DE MELO NETO,51170435,-8.0918228,-34.9111876,IMBIRIBEIRA,"RUA ARQUITETO LUIZ NUNES, 822"
BEBIDAS MEU AMOR E CIA,MERCADINHO & DEPOSITO DE BEBIDAS MARIA EDUARDA LTDA,51350030,-8.1075025,-34.9190119,IPSEP,"RUA ITAIMBE, 99 - A"
BECA BAR DO ARRUMADINHO,BECA BAR DO ARRUMDINHO LTDA,50100220,-8.0491142,-34.8817766,SANTO AMARO,"RUA PEDRO AFONSO, 326"
BECO MAGICO RECIFE,BECO MAGICO RECIFE LTDA,52060210,-8.0330571,-34.9105161,PARNAMIRIM,"ESTRADA DO ENCANAMENTO, 389"
BECO MAGICO RECIFE,BECO MAGICO RECIFE II LTDA,52060210,-8.0330571,-34.9105161,PARNAMIRIM,"ESTRADA DO ENCANAMENTO, 389"
BEERDOCK,COIMBRA BAR E RESTAURANTE LTDA,50610080,-8.0509205,-34.9072965,MADALENA,"RUA DESEMBARGADOR LUIZ SALAZAR, 98"
BEL CAKES,BEL CAKES LTDA,51020000,-8.1140408,-34.8918694,BOA VIAGEM,"AVENIDA BOA VIAGEM, 2724"
BELA RECIFE DELICATESSEN,BELA RECIFE DELICATESSEN LTDA,50050130,-8.0534412,-34.8877314,SANTO AMARO,"RUA AFONSO PENA, 233"
BELELEU BURGER & BAR,BELELEU CASA FORTE RESTAURANTE LTDA,52060463,-8.0409871,-34.9147115,SANTANA,"RUA LEOPOLDINO SILVA, S/N"
BELLA NORDESTINA,BELLA NORDESTINA LTDA,51021020,-8.1266753,-34.8999797,BOA VIAGEM,"AVENIDA CONS AGUIAR, 4510"
BELLA NORDESTINA,BELLA RESTAURANTE NORDESTINA LTDA,51021020,-8.1266753,-34.8999797,BOA VIAGEM,"AVENIDA CONS AGUIAR, 4510"
BELLAS PIZZAS,M VITORIA DO ROSARIO DOS SANTOS RESTAURANTE,50810000,-8.039561,-34.957459,VARZEA,"AVENIDA AFONSO OLINDENSE, 1035"
BENA,BENA INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,50060190,-8.0567702,-34.8947841,BOA VISTA,"RUA DOM BOSCO, 1072"
BENNE DITTO,QUANTUM RESTAURANTE SAUDAVEL LTDA,51110160,-8.0859828,-34.8941406,PINA,"AVENIDA REPUBLICA DO LIBANO, 251"
BERCY VILLAGE,LA PLAGE COMERCIO DE ALIMENTOS LTDA,52060210,-8.0330571,-34.9105161,PARNAMIRIM,"ESTRADA DO ENCANAMENTO, 341"
BERCY VILLAGE,JPLL COMERCIO DE ALIMENTOS LTDA,51020160,-8.1107612,-34.8932941,BOA VIAGEM,"RUA PROFESSOR RUI BATISTA, 120"
BERCY VILLAGE,GDQ COMERCIO DE ALIMENTOS LTDA,52050210,-8.0367064,-34.8995807,AFLITOS,"RUA CAPITAO SAMPAIO XAVIER, 332"
BFF BAR,CR COMERCIO DE ALIMENTACAO LTDA,52070015,-8.0291326,-34.9223548,CASA AMARELA,"ESTRADA DO ENCANAMENTO, 1400"
BIBIAS PIZZAS & RESTAURANTE,BIBIAS RESTAURANTE LANCHONETE & PIZZARIA LTDA,50810180,-8.0405612,-34.9573771,VARZEA,"RUA PRIMEIRO DE MAIO, 47"
BIGA REFEICOES,ABGAIL F DA SILVA,51130320,-8.1414406,-34.9087559,BOA VIAGEM,"RUA GENERAL SALGADO, 535"
BIRUTA,BIRUTA COMEDORIAS DO MAR LTDA,51010350,-8.0898717,-34.8807747,PINA,"RUA BEMTEVI, 15"
BISTRO DA PRACINHA,TOLENTINO & LENIR MULTICOMERCIO LTDA,51030300,-8.1325095,-34.9008901,BOA VIAGEM,"RUA BARAO DE SOUZA LEAO, 75"
BISTRO DO CHEFE,A MODA DO CHEFE RESTAURANTE LTDA,50060100,-8.0610187,-34.8869969,BOA VISTA,"RUA ROSARIO DA BOA VISTA, 34"
BISTRO RESTAURANTE,BISTRO RESTAURANTE LTDA,50070010,-8.0600596,-34.888239,BOA VISTA,"RUA DO GIRIQUITI, 139"
BIXIGA 35,BIXIGA 35 COMEDORIA LTDA,50030360,-8.0618779,-34.871293,RECIFE,"PRACA ARSENAL DA MARINHA, 35"
BLUE ANGEL,CASAGRANDE RECEPCOES LTDA,50720001,-8.0598789,-34.9021176,MADALENA,"RUA BENFICA, 251"
BOA OPCAO RESTAURANTE & LANCHONETE,BOA OPCAO RESTAURANTE LTDA,51030300,-8.1316829,-34.9031538,BOA VIAGEM,"RUA BARAO DE SOUZA LEAO, 335"
BOA VIAGEM CAFE & RESTAURANTE,BOA VIAGEM CAFE & RESTAURANTE LTDA,51111010,-8.1031465,-34.8881788,BOA VIAGEM,"AVENIDA CONS AGUIAR, 1472"
BOA VIAGEM RESTAURANTE E PIZZARIA,BOA VIAGEM RESTAURANTE E PIZZARIA LTDA,51020310,-8.1195997,-34.9003645,BOA VIAGEM,"RUA JACK AYRES, 210"
BOALI,ABDALA JUNIOR EMPREENDIMENTOS ALIMENTICIOS LTDA,51110160,-8.0859828,-34.8941406,PINA,"AVENIDA REPUBLICA DO LIBANO, 251"
BOALI,SALADA & SAUDE EMPREENDIMENTOS ALIMENTICIOS LTDA,51020900,-8.1197249,-34.9032262,BOA VIAGEM,"RUA PADRE CARAPUCEIRO, 777"
BOCA A BOCA,ADNA GOMES DE MELO,51230000,-8.1091537,-34.9352524,IBURA,"AVENIDA DOIS RIOS, 1172"
BOCA RICA COMEDORIA,BOCA RICA COMEDORIA LTDA,50030210,-8.0613166,-34.8718259,RECIFE ANTIGO,"RUA DA GUIA, 175"
BODE & BRASA,M LUNGUINHO DE MEDEIROS RESTAURANTE,50610350,-8.0521934,-34.9106741,MADALENA,"RUA ERNANI BRAGA, 171"
BODE DO NO AFOGADOS,EVANGELISTA SEVERINO DE LIMA LTDA,50770720,-8.0809866,-34.9193112,AFOGADOS,"RUA SAO MIGUEL, 1401"
BODE DO NO BOA VIAGEM,O BODE DO NO LTDA,51021090,-8.1245245,-34.9045367,BOA VIAGEM,"RUA DOUTOR JOAO GUILHERME DE PONTES SOBRINHO, 245"
BODE DO NO TACARUNA,O BODE DO NO LTDA,50110000,-8.0380464,-34.8719356,SANTO AMARO,"AVENIDA GOVERNADOR AGAMENON MAGALHAES, 153"
BODEGA DA TORRE,BODEGA DA TORRE BAR E RESTAURANTE LTDA,50710025,-8.0507422,-34.9081858,TORRE,"RUA REAL DA TORRE, 1642"
BODEGA DO FUTURO,JOSE GOMES DINIZ,52050005,-8.0410528,-34.8998687,GRACAS,"RUA DO FUTURO, 314"
BODEGA GOURMET,A&S NASCIMENTOS LTDA,50850000,-8.0801579,-34.908524,AFOGADOS,"RUA SAO MIGUEL, 176"
BOI & BRASA,CAXANGA COMERCIO DE CARNES NOBRES LTDA,50740000,-8.0376806,-34.9445165,VARZEA,"AVENIDA CAXANGA, 4435"
BOI E BRASA,ILHA DO RETIRO COMERCIO DE CARNES NOBRES LTDA,50750500,-8.0614493,-34.902658,ILHA DO RETIRO,"AVENIDA SPORT CLUBE DO RECIFE, 00"
BOM ALIMENTO RESTAURANTE,BOM ALIMENTO RESTAURANTE LTDA,50670423,-8.0456614,-34.9443234,IPUTINGA,"AVENIDA PROFESSOR MORAES REGO, 765"
BOM APETITE,BOM APETITE REFEICOES LTDA,50790900,-7.5617238,-34.9952357,CURADO,"RODOVIA BR CENTO E UM, 550"
BOM GOSTO,RESTAURANTE GOSTO BOM ALIMENTACAO LTDA,51021020,-8.124136,-34.8990818,BOA VIAGEM,"AVENIDA CONS AGUIAR, 4214"
BOM JESUS CONVENIENCIA,42.693.124 MARCOS ALEXANDRE FELIPE DA SILVA,52071225,-8.0225337,-34.9257877,ALTO DO MANDU,"AVENIDA DOUTOR EURICO CHAVES, 741"
BOM SABOR,CINTIA GOMES DA SILVA RESTAURANTE,50060090,-8.060551,-34.8871846,BOA VISTA,"RUA GERVASIO PIRES, 179"
BOM SABOR,GABRIEL FILIPE DA SILVA RESTAURANTE,50020410,-8.071031,-34.8795905,SAO JOSE,"RUA DOS PESCADORES, 79"
BOM SABOR MADALENA,CARLA GOMES DA MOTA RESTAURANTE,50610170,-8.0549109,-34.90791,MADALENA,"RUA LOPES DE CARVALHO, 304"
BON' GOURMET,BURLE RESTAURANTE LTDA,50070000,-8.058945,-34.8922605,BOA VISTA,"AVENIDA MANOEL BORBA, 774"
BONAPARTE,PCF COMERCIO ALIMENTICIO LTDA,52060970,-8.0369652,-34.9126464,PARNAMIRIM,"RUA DR JOAO SANTOS FILHO, 255"
BONAPETITE RESTAURANTE,RAPHAEL TING ALBUQUERQUE RESTAURANTE,50060070,-8.0618807,-34.8837669,BOA VISTA,"RUA SETE DE SETEMBRO, 127"
BONIPANELA CHURRASCO E CERVEJA,BONIPANELA CHURRASCO E CERVEJA COMERCIO DE ALIMENTOS LTDA,52061080,-8.0336666,-34.9215861,CASA FORTE,"ESTRADA DAS UBAIAS, 731"
BORA ?,H ALCAER BAR & BOTECO LTDA,52060115,-8.0318224,-34.9082533,TAMARINEIRA,"RUA ALBINO MEIRA, 42"
BOTE VINHO,BOTE VINHO 2 LTDA,52041115,-8.0365929,-34.8919166,ENCRUZILHADA,"RUA AMARO COUTINHO, 218"
BOTECO,COMERCIAL BERINSON DE ALIMENTOS E TURISMO LTDA,50030150,-8.0510777,-34.8723776,RECIFE,"AVENIDA ALFREDO LISBOA, S/N"
BOTECO 830,"BOTECO 830 BAR, PETISCARIA E RESTAURANTE LTDA",51350290,-8.1135227,-34.9243318,IPSEP,"RUA HELIO BRANDAO, 13"
BOTECO ALPHA,BOTECO ALPHA RESTAURANTES LTDA,50750360,-8.0721805,-34.9081521,AFOGADOS,"ESTRADA DOS REMEDIOS, 895"
BOTECO CORDEIRO,BOTECO CORDEIRO BAR E PETISCARIA LTDA,50721110,-7.5617238,-34.9952357,CORDEIRO,"ESTRADA DO FORTE DO ARRAIAL N. DO B. JESUS, 262"
BOTECO DA LAGOA,ANY KALINE LOPES MOURA DE ALENCAR BAR,51170390,-8.0962013,-34.9158451,IMBIRIBEIRA,"RUA JOSE NOGUEIRA, 20"
BOTECO DA MOEDA,JOANA A S LTDA,50030120,-8.0647185,-34.8729125,RECIFE,"RUA MARIZ E BARROS, 121"
BOTECO DALLAS,DALLAS BOTECO LTDA,52010110,-8.0582903,-34.8988821,DERBY,"RUA BARAO DE GOIANA, 141"
BOTECO DAS PATROAS,MARIA BISTRO LTDA,50610090,-8.0555004,-34.9067552,MADALENA,"AVENIDA VISCONDE DE ALBUQUERQUE, 294"
BOTECO DO SIVIRINO,BOTECO SIVIRINO LTDA,52030140,-8.0355126,-34.8860735,ENCRUZILHADA,"RUA LARGA DO FEITOSA, 138"
BOTECO EMPORIO DA CERVEJA,IZABELA TEIXEIRA DO NASCIMENTO - RESTAURANTE,52120140,-8.0186542,-34.8874509,AGUA FRIA,"RUA MANOEL SILVA, 233"
BOTECO ENTRE AMIGOS,BOTECO ENTRE AMIGOS LTDA,50731230,-8.039887,-34.9323944,IPUTINGA,"RUA CAPITAO AURELIO DE ARAUJO, 336"
BOTECO FERRO & FOGO,NASCIMENTO E MELO COMERCIO DE ALIMENTOS LTDA,52070015,-8.0291326,-34.9223548,CASA AMARELA,"ESTRADA DO ENCANAMENTO, 1400"
BOTECO FOGAREU BAR E RESTAURANTE,JST REFEICOES LTDA,50721110,-8.0498554,-34.9271301,CORDEIRO,"ESTRADA DO FORTE DO ARRAIAL NOVO DO BOM JESUS, 262"
BOTECO IBIZA,ANA LAIS TORRES LIMA RESTAURANTE,50781720,-8.0811642,-34.9372089,JARDIM SAO PAULO,"RUA ALFREDO ROLIM, 91"
BOTECO LIZ,BOTECO LIZ LTDA,50710220,-8.0429065,-34.9090033,TORRE,"RUA VERMELHA, 1"
BOTECO NO MORRO,BOTECO NO MORRO RESTAURANTE LTDA,52280255,-8.0195942,-34.9152855,MORRO DA CONCEICAO,"PRACA DA CONCEICAO, 430"
BOTECODOSEUZEMADALENA,BOTECO OLAVO NUNES LTDA,50610090,-8.0514561,-34.9067991,MADALENA,"AVENIDA VISCONDE DE ALBUQUERQUE, 753"
BOUCHON RECIFE,COMIDA DE BOTECO FRANCES LTDA,52060115,-8.0318224,-34.9082533,TAMARINEIRA,"RUA ALBINO MEIRA, 58"
BOYZINHO BAR,RESTAURANTE FAMILIA ESTRELA LTDA,50640240,-8.0602079,-34.928124,CORDEIRO,"RUA CAPITAO ANTONIO DIAS, 57"
BRAGA BURGUERS E PETISCOS,A I B BRAGA BURGUERS,50781620,-8.0851994,-34.9381248,JARDIM SAO PAULO,"RUA APENINOS, 16"
BRANDAO DA CHARQUE,MANOEL MARQUES BRANDAO,51150000,-8.1179601,-34.9137779,IMBIRIBEIRA,"AVENIDA MARECHAL MASCARENHAS DE MORAES, 2180"
BRASA JOCKEY,BRASA JOCKEY RESTAURANTE LTDA,50720110,-8.0625205,-34.9131155,PRADO,"RUA CARLOS GOMES, 640"
BRAZETUS,JOSE ELIAS ELOPES LTDA,50740000,-8.0381372,-34.9438454,VARZEA,"AVENIDA CAXANGA, 4301"
BRAZZETTUS,IAGO ANDRADE LOPES DE SOUZA RESTAURANTE LTDA,50741530,-8.0490227,-34.9568628,VARZEA,"RUA AMARO GOMES POROCA, 255"
BREADY'S BURGUER,BREADY'S BURGUER LTDA,51020130,-8.1150894,-34.9002087,BOA VIAGEM,"RUA GENERAL EDSON AMANCIO RAMALHO, 141"
BRO EXPERIENCE TATTOO BAR,JG RESTAURANTES LTDA,52011220,-8.052392,-34.9026552,GRACAS,"RUA FERNANDO LOPES, 64"
BUCA,MARIA JOSE CAVALCANTE TEIXEIRA LTDA,52020095,-8.0453182,-34.8931147,ESPINHEIRO,"RUA SANTO ELIAS, 350"
BUCA FORNERIA,RESTAURANTE - FAMILIAS E AMIGOS LTDA,52020095,-8.0453182,-34.8931147,ESPINHEIRO,"RUA SANTO ELIAS, 358"
